Pradesh_No,Pradesh Name,Office Type,Office Name,Employee Type,ID Range Start,ID Range End
3,Bagmati,DCS Office,Baneshor DCS,Karar,73003501,73003600
3,Bagmati,DCS Office,Baneshor DCS,Myadi,63003501,63003600
3,Bagmati,DCS Office,Baneshor DCS,Jyaladari,53007001,53007200
3,Bagmati,DCS Office,Chabahil SDC,Karar,73003601,73003700
3,Bagmati,DCS Office,Chabahil SDC,Myadi,63003601,63003700
3,Bagmati,DCS Office,Chabahil SDC,Jyaladari,53007201,53007400
3,Bagmati,DCS Office,Hetauda Division Office,Karar,73008001,73008100
3,Bagmati,DCS Office,Hetauda Division Office,Myadi,63008001,63008100
3,Bagmati,DCS Office,Hetauda Division Office,Jyaladari,53008001,53008200
3,Bagmati,DCS Office,Sindhuli DCS (Hetauda Division),Karar,73008101,73008200
3,Bagmati,DCS Office,Sindhuli DCS (Hetauda Division),Myadi,63008101,63008200
3,Bagmati,DCS Office,Sindhuli DCS (Hetauda Division),Jyaladari,53008201,53008400
3,Bagmati,DCS Office,Bhiman SDC (Hetauda Division),Karar,73008201,73008300
3,Bagmati,DCS Office,Bhiman SDC (Hetauda Division),Myadi,63008201,63008300
3,Bagmati,DCS Office,Bhiman SDC (Hetauda Division),Jyaladari,53008401,53008600
3,Bagmati,DCS Office,Bharatpur DCS (Hetauda Division),Karar,73008301,73008400
3,Bagmati,DCS Office,Bharatpur DCS (Hetauda Division),Myadi,63008301,63008400
3,Bagmati,DCS Office,Bharatpur DCS (Hetauda Division),Jyaladari,53008601,53008800
3,Bagmati,DCS Office,Chanauli DCS (Hetauda Division),Karar,73008401,73008500
3,Bagmati,DCS Office,Chanauli DCS (Hetauda Division),Myadi,63008401,63008500
3,Bagmati,DCS Office,Chanauli DCS (Hetauda Division),Jyaladari,53008801,53009000
3,Bagmati,DCS Office,Tandi DCS (Hetauda Division),Karar,73008501,73008600
3,Bagmati,DCS Office,Tandi DCS (Hetauda Division),Myadi,63008501,63008600
3,Bagmati,DCS Office,Tandi DCS (Hetauda Division),Jyaladari,53009001,53009200
3,Bagmati,DCS Office,Hetauda DCS (Hetauda Division),Karar,73008601,73008700
3,Bagmati,DCS Office,Hetauda DCS (Hetauda Division),Myadi,63008601,63008700
3,Bagmati,DCS Office,Hetauda DCS (Hetauda Division),Jyaladari,53009201,53009400
3,Bagmati,DCS Office,Palung DCS (Hetauda Division),Karar,73008701,73008800
3,Bagmati,DCS Office,Palung DCS (Hetauda Division),Myadi,63008701,63008800
3,Bagmati,DCS Office,Palung DCS (Hetauda Division),Jyaladari,53009401,53009600
3,Bagmati,Generation,,Karar,73010000,
3,Bagmati,Generation,,Myadi,63010000,
3,Bagmati,Generation,,Jyaladari,53010000,
3,Bagmati,Transmission,,Karar,73020000,
3,Bagmati,Transmission,,Myadi,63020000,
3,Bagmati,Transmission,,Jyaladari,53020000,
3,Bagmati,Engineering,,Karar,73030000,
3,Bagmati,Engineering,,Myadi,63030000,
3,Bagmati,Engineering,,Jyaladari,53030001,
